CLOSED_AT,OPENED_AT,OPEN,HIGH,LOW,CLOSE,VOLUME,COMPONENT,BUCKET
2022-01-01T01:29:59.999Z,2022-01-01T01:29:00Z,46793.26000000,46815.34000000,46793.26000000,46815.33000000,6.46012000,,2022
2022-01-01T01:30:59.999Z,2022-01-01T01:30:00Z,46815.34000000,46832.80000000,46800.29000000,46825.67000000,13.02542000,,2022
2022-01-01T01:31:59.999Z,2022-01-01T01:31:00Z,46825.67000000,46832.45000000,46806.80000000,46806.81000000,9.03465000,,2022
2022-01-01T01:32:59.999Z,2022-01-01T01:32:00Z,46806.81000000,46858.49000000,46806.80000000,46858.46000000,9.25692000,,2022
2022-01-01T01:33:59.999Z,2022-01-01T01:33:00Z,46858.47000000,46869.69000000,46847.29000000,46858.26000000,5.56555000,,2022
2022-01-01T01:34:59.999Z,2022-01-01T01:34:00Z,46858.26000000,46866.19000000,46833.32000000,46845.06000000,5.25057000,,2022
2022-01-01T01:35:59.999Z,2022-01-01T01:35:00Z,46845.06000000,46874.57000000,46845.00000000,46859.38000000,9.98086000,,2022
2022-01-01T01:36:59.999Z,2022-01-01T01:36:00Z,46859.37000000,46884.63000000,46857.53000000,46873.91000000,10.17456000,,2022
2022-01-01T01:37:59.999Z,2022-01-01T01:37:00Z,46873.90000000,46873.91000000,46840.21000000,46840.94000000,10.80765000,,2022
2022-01-01T01:38:59.999Z,2022-01-01T01:38:00Z,46840.94000000,46854.39000000,46784.38000000,46789.23000000,18.42650000,,2022
2022-01-01T01:39:59.999Z,2022-01-01T01:39:00Z,46789.23000000,46811.33000000,46753.84000000,46799.90000000,12.48485000,,2022
2022-01-01T01:40:59.999Z,2022-01-01T01:40:00Z,46798.20000000,46804.58000000,46755.40000000,46773.92000000,9.07912000,,2022
2022-01-01T01:41:59.999Z,2022-01-01T01:41:00Z,46776.33000000,46780.00000000,46750.00000000,46750.01000000,43.88948000,,2022
2022-01-01T01:42:59.999Z,2022-01-01T01:42:00Z,46750.00000000,46772.42000000,46748.05000000,46761.80000000,10.27651000,,2022
2022-01-01T01:43:59.999Z,2022-01-01T01:43:00Z,46761.80000000,46770.74000000,46752.85000000,46765.69000000,7.02937000,,2022
2022-01-01T01:44:59.999Z,2022-01-01T01:44:00Z,46765.69000000,46779.96000000,46760.49000000,46768.10000000,5.89970000,,2022
2022-01-01T01:45:59.999Z,2022-01-01T01:45:00Z,46768.11000000,46774.27000000,46765.00000000,46773.00000000,3.02615000,,2022
2022-01-01T01:46:59.999Z,2022-01-01T01:46:00Z,46773.00000000,46773.91000000,46720.00000000,46736.91000000,16.45940000,,2022
2022-01-01T01:47:59.999Z,2022-01-01T01:47:00Z,46736.91000000,46745.69000000,46711.90000000,46739.92000000,24.57709000,,2022
2022-01-01T01:48:59.999Z,2022-01-01T01:48:00Z,46739.93000000,46774.90000000,46725.77000000,46774.87000000,26.31805000,,2022
2022-01-01T01:49:59.999Z,2022-01-01T01:49:00Z,46769.94000000,46779.70000000,46747.22000000,46771.72000000,8.65818000,,2022
2022-01-01T01:50:59.999Z,2022-01-01T01:50:00Z,46769.61000000,46780.00000000,46765.75000000,46770.01000000,3.30654000,,2022
2022-01-01T01:51:59.999Z,2022-01-01T01:51:00Z,46770.01000000,46849.37000000,46770.00000000,46849.37000000,32.81841000,,2022
2022-01-01T01:52:59.999Z,2022-01-01T01:52:00Z,46849.37000000,46861.47000000,46782.64000000,46800.36000000,19.49361000,,2022
2022-01-01T01:53:59.999Z,2022-01-01T01:53:00Z,46800.36000000,46810.07000000,46775.59000000,46781.97000000,4.79837000,,2022
2022-01-01T01:54:59.999Z,2022-01-01T01:54:00Z,46781.97000000,46821.27000000,46780.85000000,46819.12000000,7.64393000,,2022
2022-01-01T01:55:59.999Z,2022-01-01T01:55:00Z,46819.12000000,46823.96000000,46780.03000000,46783.90000000,4.81601000,,2022
2022-01-01T01:56:59.999Z,2022-01-01T01:56:00Z,46783.91000000,46799.39000000,46780.78000000,46793.96000000,2.42631000,,2022
2022-01-01T01:57:59.999Z,2022-01-01T01:57:00Z,46793.95000000,46795.75000000,46760.00000000,46760.44000000,9.95627000,,2022
2022-01-01T01:58:59.999Z,2022-01-01T01:58:00Z,46760.45000000,46795.97000000,46750.00000000,46788.30000000,4.85972000,,2022
2022-01-01T01:59:59.999Z,2022-01-01T01:59:00Z,46788.31000000,46795.50000000,46774.32000000,46778.14000000,4.96763000,,2022
2022-01-01T02:00:59.999Z,2022-01-01T02:00:00Z,46778.14000000,46813.16000000,46769.95000000,46804.69000000,13.51174000,,2022
2022-01-01T02:01:59.999Z,2022-01-01T02:01:00Z,46804.70000000,46804.70000000,46770.32000000,46794.05000000,5.93588000,,2022
2022-01-01T02:02:59.999Z,2022-01-01T02:02:00Z,46794.04000000,46805.32000000,46787.32000000,46803.27000000,7.76461000,,2022
2022-01-01T02:03:59.999Z,2022-01-01T02:03:00Z,46803.28000000,46823.39000000,46803.27000000,46816.34000000,10.80245000,,2022
2022-01-01T02:04:59.999Z,2022-01-01T02:04:00Z,46816.33000000,46823.96000000,46807.00000000,46823.95000000,3.54317000,,2022
2022-01-01T02:05:59.999Z,2022-01-01T02:05:00Z,46823.96000000,46823.96000000,46813.04000000,46813.23000000,3.15064000,,2022
2022-01-01T02:06:59.999Z,2022-01-01T02:06:00Z,46813.23000000,46834.91000000,46792.21000000,46832.47000000,7.39065000,,2022
2022-01-01T02:07:59.999Z,2022-01-01T02:07:00Z,46832.46000000,46861.86000000,46832.46000000,46844.96000000,6.10879000,,2022
2022-01-01T02:08:59.999Z,2022-01-01T02:08:00Z,46844.96000000,46850.29000000,46834.91000000,46842.92000000,2.87858000,,2022
2022-01-01T02:09:59.999Z,2022-01-01T02:09:00Z,46842.92000000,46848.65000000,46807.00000000,46816.15000000,17.62004000,,2022
2022-01-01T02:10:59.999Z,2022-01-01T02:10:00Z,46816.14000000,46821.75000000,46789.02000000,46821.75000000,9.13085000,,2022
2022-01-01T02:11:59.999Z,2022-01-01T02:11:00Z,46821.75000000,46839.36000000,46820.00000000,46828.78000000,6.30658000,,2022
2022-01-01T02:12:59.999Z,2022-01-01T02:12:00Z,46828.78000000,46867.75000000,46828.78000000,46850.29000000,15.47386000,,2022
2022-01-01T02:13:59.999Z,2022-01-01T02:13:00Z,46850.29000000,46857.76000000,46840.02000000,46856.02000000,3.53552000,,2022
2022-01-01T02:14:59.999Z,2022-01-01T02:14:00Z,46856.02000000,46856.02000000,46830.00000000,46845.97000000,8.73378000,,2022
2022-01-01T02:15:59.999Z,2022-01-01T02:15:00Z,46845.98000000,46919.17000000,46845.97000000,46903.01000000,18.52671000,,2022
2022-01-01T02:16:59.999Z,2022-01-01T02:16:00Z,46903.01000000,46912.14000000,46903.00000000,46906.75000000,8.94458000,,2022
2022-01-01T02:17:59.999Z,2022-01-01T02:17:00Z,46906.76000000,46915.33000000,46903.00000000,46906.45000000,9.86501000,,2022
2022-01-01T02:18:59.999Z,2022-01-01T02:18:00Z,46906.45000000,46907.86000000,46903.00000000,46903.01000000,11.71968000,,2022
2022-01-01T02:19:59.999Z,2022-01-01T02:19:00Z,46903.02000000,46928.94000000,46903.01000000,46914.50000000,3.95537000,,2022
2022-01-01T02:20:59.999Z,2022-01-01T02:20:00Z,46914.50000000,46926.39000000,46903.00000000,46910.78000000,8.36308000,,2022
2022-01-01T02:21:59.999Z,2022-01-01T02:21:00Z,46910.77000000,46910.78000000,46876.15000000,46903.69000000,34.58133000,,2022
2022-01-01T02:22:59.999Z,2022-01-01T02:22:00Z,46903.68000000,46912.73000000,46853.14000000,46863.47000000,12.24731000,,2022
2022-01-01T02:23:59.999Z,2022-01-01T02:23:00Z,46861.99000000,46884.89000000,46860.79000000,46862.96000000,11.99089000,,2022
2022-01-01T02:24:59.999Z,2022-01-01T02:24:00Z,46862.95000000,46881.53000000,46836.07000000,46841.58000000,6.89869000,,2022
